"type","date","ticker","close","previous_close","percentage_close","vol","av20d","percentage_vol"
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","NRGV",1.71,2.1,-0.185714285714,3533977.0,1917921.0,1.842608220046
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","BOWNR",0.181,0.2227,-0.187247418051,625011.0,123085.4,5.077864637073
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","COHR",81.32,100.33,-0.189474733379,1.2867008E7,3143068.95,4.093772107672
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","MRVL",100.32,124.02,-0.191098209966,3.8391481E7,1.1203590900000002E7,3.426712144585
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","EME",430.0,531.65,-0.191197216213,1611004.0,409547.1499999998,3.933622783115
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","MNPR",33.52,41.46,-0.191509889049,100599.0,62177.549999999625,1.617931230805
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","MIR",14.64,18.11,-0.191606847045,5842698.0,1869506.35,3.125262452304
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ESOA",11.01,13.74,-0.198689956331,532179.0,274039.75,1.941977395615
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","AAOI",24.54,30.69,-0.200391006842,6400835.0,2918049.15,2.193532278234
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","PRIM",69.06,86.43,-0.200971884762,2116196.0,689431.4500000017,3.069479931616
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","MTEKW",0.4,0.502,-0.203187250996,64533.0,49872.4,1.293962191512
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","WGSWW",0.1611,0.2025,-0.204444444444,28424.0,26101.95,1.088960786454
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","TAC",10.7,13.47,-0.205642167780,4053406.0,1715982.8500000008,2.362148316342
